matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,quartersPlayed,rebounds,tossUpWin
105640102,813,811,80105,4,0,0,0,0,0,0,0,1,0,0,7,3,7,1,0,1,3,0,0,0,1,1,15,0,0,0,7,1,0,1,1,1,0,0
105640102,813,811,80225,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,15,0,0,0,0,3,0,0,2,1,0,0
105640102,813,811,80225,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,1,1,1,0
105640102,813,811,80225,3,0,0,0,0,0,0,0,2,3,0,1,0,0,3,0,0,0,0,0,0,0,0,15,0,2,0,0,4,0,0,1,1,0,0
105640102,813,811,80225,4,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,1,0,0
105640102,813,811,80287,1,0,1,0,0,1,4,0,0,0,0,8,0,1,0,0,2,0,7,1,6,0,0,15,0,1,0,1,1,0,2,11,1,0,0
105640102,813,811,80287,2,0,0,0,0,0,4,0,1,0,0,7,4,3,0,0,0,4,4,1,3,0,0,15,1,0,0,3,1,0,1,8,1,0,0
105640102,813,811,80287,3,2,0,0,0,0,3,0,0,0,0,9,2,2,0,0,2,2,6,2,4,0,0,15,1,0,0,2,0,0,3,10,1,0,0
105640102,813,811,80287,4,0,0,0,0,0,4,0,2,0,1,7,3,4,0,0,1,1,3,1,2,0,0,15,1,0,0,4,2,0,2,7,1,0,0
105640102,813,811,80305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,813,811,80305,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,813,811,80305,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,813,811,80305,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,813,811,80477,1,0,0,0,0,0,6,0,0,1,0,8,6,7,1,0,1,5,0,0,0,0,0,15,0,0,0,7,0,0,1,7,1,0,0
105640102,813,811,80477,2,0,0,0,0,0,5,0,0,0,0,8,4,7,0,0,0,3,0,0,0,0,0,15,0,0,0,7,0,0,0,6,1,0,0
