StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,GS_1,GS_2,GS_3,GS_4,GS_5,GS_6,GS_7,GS_8,GS_9,GS_10,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,GA_8,GA_9,GA_11,GA_10,WA_1,WA_2,WA_3,WA_4,WA_5,WA_6,WA_7,WA_8,WA_9,WA_10,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,WD_1,WD_2,WD_3,WD_4,WD_5,WD_6,WD_7,WD_8,WD_9,WD_10,GD_1,GD_2,GD_3,GD_4,GD_5,GD_6,GD_7,GD_8,GD_9,GD_10,GK_1,GK_2,GK_3,GK_4,GK_5,GK_6,GK_7,GK_8,GK_9
2022-06-16 00:26:13,2022-06-16 00:29:51,IP Address,119.74.153.168,100,218,True,2022-06-16 00:29:52,R_1CKlYMss0KEIpgE,,,,,1.3051,103.8843,anonymous,EN,,1,,2,3,,,,,,,,1,,,3,,2,,,,,,,2,,,1,,3,,,,,,,2,,1,3,,,1,3,2,,,,,,,,,2,,,,3,,1,,,1,,,,,,2,3,
2022-06-16 00:28:50,2022-06-16 00:31:31,IP Address,129.126.191.208,100,160,True,2022-06-16 00:31:31,R_2AZMwVctTNr6aPd,,,,,1.2788,103.8108,anonymous,EN,,2,,3,,,,,1,,,,3,2,,1,,,,,,,,,2,,,3,,,1,,,,2,,3,,1,,,,,,3,1,,,2,,,,,1,,,3,,,2,,,2,,,,,,1,3,
2022-06-16 00:28:01,2022-06-16 00:31:55,IP Address,101.100.135.217,100,233,True,2022-06-16 00:31:55,R_12fkm8HUHMXoR9X,,,,,-45.8742,170.5036,anonymous,EN,,,2,3,1,,,,,,,,,3,,2,,1,,,,,,,1,,,3,,2,,2,,,,,1,,,3,,,,3,,,1,,,,2,,,2,1,,3,,,,,,1,,,,,,2,3,
2022-06-16 00:33:10,2022-06-16 00:35:45,IP Address,49.183.19.16,100,154,True,2022-06-16 00:35:45,R_tRjyAhbvbhWJlZf,,,,,-37.8159,144.9669,anonymous,EN,,,,3,2,,1,,,,,,3,1,,2,,,,,,,,,1,,,3,,,2,,,2,,,3,,,,1,,,3,1,,,,2,,,,,3,,,,1,,2,,,2,,,1,,,,3,
2022-06-16 00:38:14,2022-06-16 00:41:48,IP Address,50.241.201.34,100,213,True,2022-06-16 00:41:48,R_Y4xHtczY7BhJV3r,,,,,35.9375,-84.073,anonymous,EN,,,,3,,,2,,1,,,,,3,,1,,2,,,,2,,,,,,1,,3,,,,,3,,1,,,,2,,,3,2,,1,,,,,,,2,1,,3,,,,,,1,,,,,,2,3,
2022-06-16 00:38:49,2022-06-16 00:42:32,IP Address,49.179.4.213,100,222,True,2022-06-16 00:42:32,R_UaP0EkXTWTq3l29,,,,,-33.8715,151.2006,anonymous,EN,,,,3,2,,1,,,,,,3,,,1,,2,,,,,,,3,,,1,2,,,2,,,1,,3,,,,,,,3,2,1,,,,,,,1,,,,,,,3,2,,2,,,,,,1,3,
2022-06-16 00:39:31,2022-06-16 00:42:45,IP Address,218.214.247.195,100,194,True,2022-06-16 00:42:45,R_10xdN2ikcZwARDc,,,,,-37.8159,144.9669,anonymous,EN,,2,,3,,,1,,,,,,2,,,3,,1,,,,,,,2,,,3,,,1,,,2,,,3,,1,,,,,3,2,,,,1,,,,,3,,,1,,,2,,,2,,,,,,1,3,
2022-06-16 00:40:29,2022-06-16 00:43:46,IP Address,120.17.48.199,100,197,True,2022-06-16 00:43:46,R_29RlG75yGCMXxNT,,,,,-33.8715,151.2006,anonymous,EN,,,2,3,,,,,1,,,,3,1,,2,,,,,,,,,1,,,2,,3,,,,,2,,,,3,1,,,,3,1,,,,,2,,,,,1,,3,,,2,,,,,,1,,,2,3,
2022-06-16 00:42:48,2022-06-16 00:46:31,IP Address,41.150.208.197,100,223,True,2022-06-16 00:46:32,R_D1thcbkFGcev4VX,,,,,-26.2198,28.251,anonymous,EN,,1,,3,,,,,2,,,,2,,,1,,3,,,,,,,3,,,1,2,,,3,,,1,,,,2,,,,,3,,,1,,,2,,,,3,2,,,,,1,,,2,,1,,,,,3,
2022-06-16 00:42:50,2022-06-16 00:46:37,IP Address,101.187.89.146,100,227,True,2022-06-16 00:46:37,R_2Cf64Gt9KIoTwO1,,,,,-33.6661,151.1104,anonymous,EN,,1,,3,2,,,,,,,,1,,,2,,3,,,,1,,,2,,,3,,,,1,,,3,,2,,,,,,,3,2,1,,,,,,,,2,,,,3,,1,,,1,,,,,,2,3,
2022-06-16 00:44:36,2022-06-16 00:47:32,IP Address,1.136.18.237,100,175,True,2022-06-16 00:47:32,R_1q7XdJuzWtr3yvR,,,,,-37.8159,144.9669,anonymous,EN,,1,,3,,,2,,,,,,3,,,1,,2,,,,,,,2,,,3,,1,,,,,1,,3,,2,,,,,3,1,,,,,2,,,,3,,,2,1,,,,,1,,,,,,2,3,
2022-06-16 00:46:03,2022-06-16 00:48:36,IP Address,149.167.61.230,100,152,True,2022-06-16 00:48:36,R_bpFtxF2MRd2VnK9,,,,,-37.8159,144.9669,anonymous,EN,,,1,3,,,,,2,,,,2,3,,1,,,,,,,,,2,,,3,,1,,,,2,3,,,,1,,,,,1,3,,,,,,2,,,,2,,,,,3,1,,3,,,,,1,,2,
2022-06-16 00:46:37,2022-06-16 00:50:24,IP Address,49.183.36.50,100,227,True,2022-06-16 00:50:24,R_3Gs7ArxmduePq7A,,,,,-37.8159,144.9669,anonymous,EN,,1,,3,2,,,,,,,,3,,,1,,2,,,,,,,1,,,3,,2,,,,2,,,3,,1,,,,,3,2,,1,,,,,,,1,,,3,,,2,,,2,,,,,,1,3,
2022-06-16 00:47:45,2022-06-16 00:50:54,IP Address,103.36.5.33,100,189,True,2022-06-16 00:50:54,R_1FQZTq69RNzw084,,,,,-37.8159,144.9669,anonymous,EN,,,,3,1,,,,2,,,,3,,,1,,2,,,,,,,2,,,1,,3,,,,3,,,,,1,2,,,,2,3,,,,1,,,,,,1,,3,,,2,,,2,,,,,,1,3,
2022-06-16 00:52:10,2022-06-16 00:55:24,IP Address,14.203.243.74,100,193,True,2022-06-16 00:55:24,R_3rYSiHjkR4zRmHt,,,,,-33.8715,151.2006,anonymous,EN,,,2,1,3,,,,,,,,3,,,2,,1,,,,,,,3,,,2,,1,,2,,3,,,1,,,,,,,1,2,,,,3,,,,,3,,,2,,,1,,,,,3,,,,2,1,
2022-06-16 00:55:30,2022-06-16 00:57:34,IP Address,87.80.187.192,100,123,True,2022-06-16 00:57:34,R_40ofb8aylt3PBfj,,,,,53.5024,-2.5224,anonymous,EN,,1,,2,3,,,,,,,,2,1,,,,3,,,,,,,3,,,2,,1,,2,,,,,3,,,,1,,1,3,2,,,,,,,,1,,,,3,,,2,,,,,,,,2,1,3,
2022-06-16 00:57:27,2022-06-16 01:00:40,IP Address,101.173.195.98,100,193,True,2022-06-16 01:00:41,R_28HTlDBQHsRW4Mi,,,,,-33.8715,151.2006,anonymous,EN,,,3,,2,,1,,,,,,1,2,,3,,,,,,,,,1,,,,,3,2,,,1,,,3,,,2,,,1,2,3,,,,,,,,,,,,1,3,,2,,,,,,,,1,2,3,
2022-06-16 00:57:52,2022-06-16 01:03:33,IP Address,49.185.71.241,100,341,True,2022-06-16 01:03:34,R_3L0WzGIBpOvtt1T,,,,,-37.8159,144.9669,anonymous,EN,,1,,3,,,,,2,,,,1,,,2,,3,,,,1,,,2,,,3,,,,,,2,,,3,,1,,,,,2,3,,1,,,,,,,3,1,,2,,,,,,,,1,,,,2,3,
2022-06-16 00:56:13,2022-06-16 01:04:48,IP Address,121.200.6.12,100,515,True,2022-06-16 01:04:48,R_2wb4jNa0ebzeRen,,,,,-37.8159,144.9669,anonymous,EN,,,1,3,2,,,,,,,,3,,,1,,2,,,,,,,,,,3,,2,1,,,2,,,3,,,1,,,,3,2,,,,1,,,,,3,1,,,,,2,,,1,,,,,,2,3,
2022-06-16 01:04:31,2022-06-16 01:07:32,IP Address,1.145.46.178,100,181,True,2022-06-16 01:07:32,R_1NmDfGgiL4kGSoS,,,,,-33.8715,151.2006,anonymous,EN,,2,,3,,,1,,,,,,3,1,,2,,,,,,1,,,3,,,,,2,,,,,2,,,,3,1,,,1,2,3,,,,,,,,,2,,,3,1,,,,,1,,,,,,2,3,
2022-06-16 01:12:20,2022-06-16 01:14:40,IP Address,27.32.208.200,100,140,True,2022-06-16 01:14:40,R_30xfV6L3MgjUJ0U,,,,,-33.8715,151.2006,anonymous,EN,,,,3,,,2,,1,,,,3,2,,1,,,,,,1,,,,,,3,,,2,,,2,,,,,1,3,,,,,2,,,,3,1,,,,3,,,2,1,,,,,1,,,,,,2,3,
2022-06-16 01:11:41,2022-06-16 01:16:07,IP Address,120.148.174.40,100,265,True,2022-06-16 01:16:07,R_ZkmrQTmnVZR92X7,,,,,-37.8159,144.9669,anonymous,EN,,1,,3,,,2,,,,,,3,1,,2,,,,,,,,,1,,,3,,2,,,,3,1,,2,,,,,,,2,3,,,,1,,,,,3,,,2,,,1,,,,,1,2,,,,3,
2022-06-16 01:20:18,2022-06-16 01:23:15,IP Address,81.78.49.186,100,177,True,2022-06-16 01:23:16,R_SHOxRmQbs4z4gpz,,,,,52.5451,-1.881,anonymous,EN,,1,,2,3,,,,,,,,3,2,,,,1,,,,,,,2,,,1,,3,,,,,1,,,,3,,2,,,3,,1,,,,2,,,,,,1,2,,,3,,,1,,,,,,2,3,
2022-06-16 01:18:15,2022-06-16 01:24:28,IP Address,102.70.49.120,100,373,True,2022-06-16 01:24:29,R_3hsR3kiEFgWX5MF,,,,,-13.9834,33.7828,anonymous,EN,,,,2,,,3,,1,,,,1,,,3,,2,,,,,,,2,,,3,,,1,,,2,,,3,,1,,,,,3,2,,,,1,,,,,2,,,3,,,1,,,,,1,,,,3,2,
2022-06-16 01:22:07,2022-06-16 01:25:52,IP Address,203.221.70.126,100,225,True,2022-06-16 01:25:53,R_2VNLxvGLCdibGiA,,,,,-37.8159,144.9669,anonymous,EN,,,,3,,,2,,1,,,,3,,,,1,2,,,,1,,,2,,,3,,,,2,,1,,,3,,,,,,,2,3,1,,,,,,,,3,,,1,,,2,,,3,,,,,,1,2,
2022-06-16 01:23:20,2022-06-16 01:26:11,IP Address,212.115.158.50,100,170,True,2022-06-16 01:26:11,R_ApTbJtq6c5iccBX,,,,,51.4535,-2.5917,anonymous,EN,,,1,3,2,,,,,,,,2,,,,3,1,,,,,,,3,,,,,1,2,,,,,,1,,2,3,,,3,2,,,1,,,,,,,,,,1,2,,3,,,3,,,,,,1,2,
2022-06-16 01:29:55,2022-06-16 01:32:04,IP Address,61.68.146.123,100,128,True,2022-06-16 01:32:04,R_3PpNa3WTLQDnfi6,,,,,-33.8715,151.2006,anonymous,EN,,1,3,,,,2,,,,,,,3,,,2,1,,,,,,,,,,1,,2,3,,,,,,3,,1,2,,,3,,2,,1,,,,,,,,1,,,3,,2,,,,,,2,,1,3,,
