matchId,squadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,quartersPlayed,rebounds,tossUpWin,turnovers
95630604,810,80470,1,1,0,0,1,0,1,2,1,0,0,3,0,0,0,0,2,15,0,0,1,0,2,1,1,2,0,1
95630604,810,80470,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,2,1,1,0,0,0
95630604,810,80470,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,1,0,0,1,1,1,0,0,0
95630604,810,80470,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,2,1,1,0,0,0
95630604,810,80572,1,0,0,0,0,0,4,0,0,1,6,0,4,0,0,0,0,15,0,1,0,0,1,2,1,0,0,0
95630604,810,80572,2,1,0,0,0,0,3,2,0,0,6,0,2,0,0,0,0,15,0,0,0,0,2,0,1,0,0,1
95630604,810,80572,3,1,0,0,0,0,3,0,0,0,6,0,6,0,0,0,0,15,0,0,0,0,0,0,1,0,0,1
95630604,810,80572,4,0,1,0,0,0,5,0,0,0,6,0,1,0,0,0,0,15,0,0,0,0,0,0,1,0,0,1
95630604,810,993360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,993360,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,993360,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,993360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,995218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,995218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,995218,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630604,810,995218,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
