matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,quartersPlayed,rebounds,tossUpWin,turnovers
95631104,803,802,80109,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0
95631104,803,802,80109,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,15,0,0,0,1,2,0,1,0,0,0
95631104,803,802,80109,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,14,0,0,0,1,3,0,1,0,0,1
95631104,803,802,80109,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,2,2,2,1,0,0,1
95631104,803,802,80111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80111,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80127,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,14,0,0,0,0,4,0,1,0,0,0
95631104,803,802,80127,4,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,15,0,0,0,0,2,0,1,0,0,1
95631104,803,802,80175,1,0,0,0,0,0,0,1,0,0,7,0,2,0,0,0,0,15,0,1,0,1,2,1,1,0,0,0
95631104,803,802,80175,2,0,0,0,0,0,0,0,0,1,4,1,3,0,0,0,1,15,0,0,0,0,0,1,1,0,0,0
95631104,803,802,80175,3,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,14,0,0,0,0,4,0,1,0,0,0
95631104,803,802,80175,4,0,0,0,0,0,0,4,0,2,5,0,3,0,0,0,0,15,0,0,0,1,4,0,1,0,0,1
95631104,803,802,80221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80221,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80221,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80444,1,0,0,0,0,0,0,0,0,0,4,0,3,13,3,10,0,15,0,0,0,0,0,0,1,0,0,2
95631104,803,802,80444,2,0,0,0,0,0,0,0,0,0,4,0,1,10,1,9,0,15,0,0,0,0,0,0,1,0,0,1
95631104,803,802,80444,3,0,1,1,0,0,0,0,0,0,1,0,0,9,1,8,0,14,0,0,0,0,0,0,1,0,0,1
95631104,803,802,80444,4,1,0,0,0,0,0,2,0,0,3,0,0,8,2,6,0,15,0,0,0,0,3,2,1,0,0,2
95631104,803,802,80580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80580,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80580,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80776,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80776,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95631104,803,802,80776,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
